Id,MedVal
0,1.0
1,3.9
2,4.292
3,1.402
4,2.1
5,3.565
6,1.031
7,2.682
8,2.333
9,4.507
10,2.094
11,0.585
12,0.792
13,2.52
14,2.393
15,1.726
16,1.0
17,2.73
18,1.315
19,5.00001
20,3.289
21,1.959
22,1.241
23,1.905
24,2.105
25,1.865
26,0.973
27,0.925
28,2.681
29,2.613
30,2.523
31,0.847
32,2.817
33,2.472
34,1.792
35,0.732
36,0.949
37,1.574
38,4.513
39,5.00001
40,3.75
41,2.38
42,2.158
43,1.76
44,5.00001
45,0.57
46,2.104
47,2.963
48,2.594
49,0.588
50,2.368
51,0.491
52,2.065
53,1.25
54,1.676
55,0.675
56,1.917
57,3.8
58,2.75
59,1.625
60,0.637
61,1.859
62,3.536
63,2.182
64,0.984
65,2.559
66,1.876
67,0.583
68,2.664
69,0.934
70,3.75
71,1.103
72,0.802
73,0.944
74,1.385
75,1.44
76,0.656
77,3.141
78,3.374
79,2.826
80,1.635
81,2.0
82,1.263
83,1.75
84,2.242
85,3.202
86,2.0
87,4.153
88,2.246
89,2.783
90,3.25
91,2.002
92,1.584
93,1.938
94,1.86
95,1.763
96,3.8
97,3.271
98,0.938
99,2.707
100,2.368
101,2.349
102,0.931
103,1.443
104,1.873
105,3.265
106,2.211
107,1.46
108,1.252
109,2.686
110,1.438
111,2.262
112,1.688
113,1.455
114,2.13
115,2.256
116,2.264
117,2.25
118,5.00001
119,3.31
120,1.5
121,2.583
122,5.00001
123,1.697
124,1.8
125,2.303
126,0.885
127,5.0
128,2.51
129,4.827
130,1.455
131,5.00001
132,3.183
133,1.01
134,1.107
135,1.525
136,1.423
137,2.285
138,1.567
139,2.369
140,0.92
141,1.839
142,2.356
143,3.515
144,3.025
145,0.616
146,0.788
147,0.579
148,0.996
149,0.541
150,4.708
151,2.233
152,2.146
153,3.394
154,1.102
155,2.845
156,4.838
157,1.17
158,0.575
159,3.547
160,1.723
161,2.528
162,1.218
163,3.616
164,1.661
165,2.144
166,1.0
167,1.597
168,3.056
169,1.902
170,1.0
171,3.319
172,2.241
173,2.287
174,4.0
175,1.526
176,1.031
177,0.755
178,3.853
179,1.404
180,1.475
181,1.442
182,1.794
183,1.227
184,2.165
185,1.034
186,2.263
187,1.215
188,1.095
189,1.183
190,0.895
191,5.00001
192,1.5
193,5.00001
194,1.62
195,5.00001
196,2.425
197,0.945
198,0.738
199,3.07
200,2.712
201,0.561
202,1.661
203,1.62
204,2.628
205,0.969
206,3.439
207,2.935
208,4.324
209,1.02
210,0.683
211,2.583
212,0.575
213,2.417
214,0.425
215,1.582
216,2.278
217,3.521
218,0.54
219,1.573
220,1.514
221,0.747
222,3.556
223,1.591
224,1.107
225,2.545
226,2.85
227,5.00001
228,5.00001
229,1.639
230,0.675
231,1.113
232,3.228
233,2.469
234,1.208
235,3.369
236,1.207
237,2.188
238,2.307
239,2.988
240,0.865
241,2.202
242,2.173
243,0.498
244,2.25
245,2.119
246,1.612
247,0.62
248,2.412
249,1.84
250,1.941
251,1.0
252,2.167
253,1.693
254,1.388
255,1.463
256,2.42
257,1.87
258,2.198
259,1.343
260,0.97
261,2.739
262,2.119
263,2.909
264,3.593
265,3.625
266,1.655
267,1.549
268,0.702
269,0.563
270,1.785
271,1.307
272,0.98
273,4.555
274,1.292
275,0.982
276,0.895
277,1.84
278,1.0
279,2.396
280,0.72
281,0.922
282,1.711
283,1.911
284,1.125
285,4.338
286,1.75
287,1.676
288,2.786
289,1.126
290,1.403
291,3.585
292,2.937
293,0.745
294,2.261
295,3.981
296,2.646
297,3.394
298,1.654
299,2.881
300,1.646
301,1.64
302,1.063
303,1.372
304,1.477
305,0.723
306,4.261
307,0.669
308,0.994
309,5.00001
310,2.885
311,2.78
312,2.776
313,1.222
314,3.806
315,2.221
316,3.26
317,5.00001
318,2.188
319,1.411
320,3.152
321,1.893
322,1.411
323,1.175
324,0.583
325,2.097
326,2.634
327,0.913
328,2.48
329,2.494
330,2.357
331,4.139
332,2.006
333,0.745
334,2.849
335,1.11
336,3.478
337,2.743
338,5.00001
339,1.875
340,0.743
341,1.795
342,4.224
343,2.056
344,0.991
345,1.734
346,4.1
347,1.5
348,1.311
349,1.693
350,1.6
351,1.475
352,3.667
353,1.986
354,1.779
355,2.443
356,3.451
357,4.19
358,0.991
359,1.772
360,2.167
361,3.244
362,1.403
363,3.216
364,1.846
365,0.678
366,1.413
367,2.515
368,3.505
369,2.908
370,2.199
371,1.042
372,0.427
373,0.638
374,1.967
375,1.649
376,0.906
377,5.00001
378,2.495
379,1.865
380,0.556
381,5.00001
382,4.409
383,2.979
384,1.15
385,3.5
386,0.621
387,1.103
388,1.842
389,0.895
390,2.846
391,2.811
392,0.723
393,3.069
394,1.047
395,4.79
396,1.719
397,1.761
398,2.795
399,0.741
400,1.543
401,2.174
402,1.278
403,1.923
404,2.395
405,0.542
406,2.554
407,4.4
408,5.00001
409,1.429
410,2.058
411,2.125
412,2.12
413,1.33
